dep;Somme_detenu_etrangers;Somme_detenu_fr;Somme_Nombre_detenus;perc_theo_etr;perc_theo_fr;eff_theo_etr;eff_theo_fr;chi²_partiel_etr;chi²_partiel_fr;residu_pearson_etr;residu_pearson_fr;taux_etr_det
Manche;10;114;124;0,00061700896216701;0,00170545809719637;32,9430340035399;91,0569659964601;15,9785771168201;5,78080769029852;-3,99732124263488;2,40433102760384;0,0806451612903226
Marne;64;373;437;0,00217445900376599;0,00601036442318399;116,097627899572;320,902372100428;23,3782798310927;8,45790828842131;-4,8351090816126;2,908248319594;0,146453089244851
Mayenne;15;94;109;0,00054237078125971;0,00149915268221294;28,9579895676278;80,0420104323722;6,72786597684952;2,43404022109884;-2,59381301886808;1,56014109012578;0,137614678899083
Meurthe-et-Moselle;155;590;745;0,00370702965172921;0,0102465022775105;197,9238736503;547,0761263497;9,30892719087673;3,36782915650244;-3,05105345591924;1,8351646129169;0,208053691275168
Meuse;13;70;83;0,000412997934353724;0,00114155662957499;22,0505792120469;60,9494207879531;3,71477698095038;1,34395016416178;-1,9273756719826;1,15928864574867;0,156626506024096
Morbihan;64,5;350,5;415;0,00206498967176862;0,00570778314787496;110,252896060234;304,747103939766;18,9865987443537;6,86906444995244;-4,35736144293237;2,62089001103679;0,155421686746988
Moselle;192,5;508,5;701;0,00348809098773447;0,00964133972689239;186,234409971625;514,765590028375;0,210796803929292;0,0762630975421492;0,459126130741098;-0,276157740326338;0,274607703281027
Nièvre;10;132;142;0,000706574779255769;0,00195302459517649;37,7250873266344;104,274912673366;20,37584328471;7,37167212671129;-4,51396093079128;2,71508234252873;0,0704225352112676
Nord;516;2310;2826;0,0140618332829352;0,0388679401828786;750,782371725837;2075,21762827416;73,4204266763712;26,5624006476137;-8,56857203251342;5,15387239341581;0,182590233545648
Oise;110;573;683;0,00339852517064571;0,00939377322891228;181,45235664853;501,54764335147;28,1365277636923;10,1793704711937;-5,30438759553752;3,19051257185953;0,161054172767204
Paris;416;797;1213;0,00603574089603696;0,0166832312249935;322,257260050757;890,742739949243;27,2692112252406;9,865588456766;5,22199303190272;-3,14095343116799;0,342951360263809
Pas-de-Calais;170;763;933;0,00464249485243403;0,0128321968119695;247,869763913732;685,130236086268;24,4632505241369;8,85043428621475;-4,94603381752864;2,97496794709031;0,182207931404073
Puy-de-Dôme;122;465;587;0,00292084081283899;0,00807341857301831;155,948072258693;431,051927741307;7,39009846924986;2,67362592743834;-2,71847355500285;1,63512260318251;0,207836456558773
Pyrénées-Atlantiques;130;311;441;0,00219436251867461;0,0060653792005129;117,160306415815;323,839693584185;1,40711249721946;0,509072033484055;1,18621772757764;-0,713492840527538;0,294784580498866
Pyrénées-Orientales;114;318;432;0,00214957961013023;0,00594159595152285;114,769279754268;317,230720245732;0,00515635666263406;0,00186549190402583;-0,0718077757811371;0,0431913406138989;0,263888888888889
Rhône;686;1347;2033;0,0101159614523027;0,0279612605774212;540,106355880618;1492,89364411938;39,4088222859901;14,2575162525984;6,27764464476846;-3,77591263836949;0,337432365961633
Saône-et-Loire;54;289;343;0,00170672640341358;0,00471751715595448;91,1246827678563;251,875317232144;15,124794169381;5,4719219245437;-3,88906083384935;2,33921395441796;0,157434402332362
Sarthe;107;456;563;0,00280141972338731;0,00774332990904482;149,572001161234;413,427998838766;12,1170758484296;4,38377489662688;-3,48095904147544;2,09374661710219;0,190053285968028
Savoie;170;359;529;0,0026322398466641;0,00727570430174904;140,539233773166;388,460766226834;6,17576119756728;2,23429705682385;2,4851078844926;-1,49475652091698;0,321361058601134
Seine-et-Marne;224,5;569,5;794;0,00395084770935972;0,0109204332997897;210,94168547428;583,05831452572;0,871463088791783;0,315282173667124;0,933521873761822;-0,561499932027711;0,282745591939547
Seine-Maritime;174;820;994;0,00494602345479038;0,0136711721662354;264,075611286441;729,924388713559;30,724593267438;11,1156934527502;-5,5429769318876;3,33402061372604;0,175050301810865
Seine-Saint-Denis;455;673;1128;0,00561279120422893;0,0155141672067541;299,675341580589;828,324658419411;80,5062885249733;29,125958364131;8,97252966141507;-5,39684707622247;0,403368794326241
Somme;81;446;527;0,00262228808920979;0,00724819691308458;140,007894515045;386,992105484955;24,8695377297062;8,99742285630162;-4,98693670801086;2,9995704452974;0,153700189753321
Tarn;38;147;185;0,000920537564523361;0,00254443345146233;49,148881376249;135,851118623751;2,52900071092439;0,914954232257178;-1,59028321720516;0,956532400003878;0,205405405405405
Tarn-et-Garonne;60;183;243;0,00120913853069825;0,0033421477227316;64,5577198617758;178,442280138224;0,321771127959627;0,116411930638491;-0,567248735529333;0,341191926396993;0,246913580246914
Territoire de Belfort;2,5;44,5;47;0,000233866300176205;0,000646423633614754;12,4864725658579;34,5135274341421;7,98701424943066;2,88958103453591;-2,82613061436138;1,69987677039717;0,0531914893617021
Val-d'Oise;300;708;1008;0,00501568575697053;0,0138637238868866;267,794986093292;740,205013906708;3,87297363502519;1,40118332251931;1,96798720397903;-1,1837158960322;0,297619047619048
Val-de-Marne;821;1268;2089;0,0103946106610232;0,028731467460026;554,983855108023;1534,01614489198;127,507473761405;46,1302767763063;11,2919207295041;-6,79192732413314;0,393011010052657
Var;331;840;1171;0,00582675398949652;0,0161055760630399;311,099135630203;859,900864369797;1,27304886869186;0,460569839007307;1,12829467281019;-0,678652959182605;0,28266438941076
Vaucluse;150;524;674;0,00335374226210133;0,00926998997992222;179,061329986983;494,938670013017;4,71660129338764;1,70639505817983;-2,17177376662203;1,30629057187895;0,222551928783383
Vendée;11,5;110,5;122;0,000607057204712703;0,00167795070853191;32,4116947454183;89,5883052545817;13,4920120826873;4,88120604450424;-3,67314743546829;2,20934516192111;0,0942622950819672
Vienne;85;429;514;0,0025576016657568;0,00706939888676561;136,554189337254;377,445810662746;19,4635876872094;7,04163183995771;-4,4117556241489;2,65360732587881;0,165369649805447
Vosges;43;265;308;0,00153257064796322;0,00423613785432647;81,8262457507281;226,173754249272;18,4229075312614;6,66512948904983;-4,29219146022884;2,58169120714501;0,13961038961039
Yonne;25;161;186;0,000925513443250514;0,00255818714579456;49,4145510053098;136,58544899469;12,0626473106439;4,36408347432418;-3,47313220460205;2,08903888770032;0,134408602150538
Yvelines;309;793;1102;0,00548341835732294;0,0151565711541161;292,767931225008;809,232068774992;0,899962149589332;0,325592703110406;0,948663348922752;-0,570607310775463;0,280399274047187
